先手: 真田 圭一七段
後手: 福崎 文吾九段
手数 10: ゴキゲン中飛車を思わせる出だしだったが、福崎は居飛車に変化する。
手数 15: １１時前の局面。消費時間は真田１７分、福崎２８分。
▲３六歩から▲３七銀と活用するのも一局の将棋。
手数 21: 真田は左美濃に組む。コンパクトで堅い。後に▲７七銀から▲７八金と矢倉に組み替えることも可能だ。
手数 25: ▲３六歩の局面で福崎は２１分考えて昼食休憩に入った。消費時間は真田２６分、福崎１時間３１分。
手数 26: 昼食休憩をはさんで４４分の長考。
手数 28: △３三銀から矢倉模様に組むのは、△４四歩とは突きにくい（▲５八飛から５筋を狙われる）ため固めにくい。福崎は５四銀型を生かした急戦を狙っている。
手数 29: １４時ごろの局面。消費時間は真田５４分、福崎２時間。
手数 32: ６筋に戦力を集中させる。
手数 33: △６五歩▲同歩△同桂や△８五桂の当たりを避ける。
手数 39: ▲８九玉から深く囲う意味。△６五歩や△８五桂の桂交換は▲４六桂から反撃が利く。
手数 40: １５時２０分ごろの局面。消費時間は真田１時間３７分、福崎２時間２６分。
手数 42: １６時２０分の局面。消費時間は真田１時間４５分、福崎３時間８分。福崎、△４四歩に４２分の長考。
手数 43: 真田は３５分の長考でチャンスと見て仕掛けた。
手数 49: 十字飛車。△３三角は▲５四飛がある。
手数 50: △４三金右は▲２三歩や▲１五歩が気になるか。
手数 53: 激しい展開になった。先手は角が使えないが、これで十分と見ている。
手数 56: １７時３０分前の局面。消費時間は真田２時間３６分、福崎３時間３１分。
手数 59: ▲４六香の筋があるため、▲７三飛成よりも厳しい。
手数 62: 福崎も香を取り返すが、陣形の乱れが気になる。
手数 63: ▲４九香の局面で福崎が１６分考えて夕食休憩に入った。消費時間は真田２時間５２分、福崎３時間５７分。
手数 65: 形を乱す手筋だ。
手数 73: 厳しく打ち込む。壁金だけに受けにくい。
手数 74: ２０時の局面。消費時間は真田３時間２３分、福崎４時間１分。
壁金を使って受ける。「後手に余されていそうですね」という声も聞かれるが。先手陣は堅いものの△４八とが厳しい攻めとして残っている。
手数 75: 次に▲５二銀不成を含みに▲２六香が厳しい。余されそうという声もあった控え室も先手良しの見解になった。
手数 83: ２１時１５分の局面。消費時間は真田４時間１９分、福崎４時間３２分。
手数 85: △同金上と取るくらいだが、▲同桂成△同金▲５一龍で受けにくい。１分考えた福崎の投了となった。終局時刻は２１時２４分。消費時間は真田４時間２６分、福崎４時間３３分。勝った真田、敗れた福崎ともに３勝２敗となった。
