先手: 先崎 学八段
後手: 飯塚 祐紀六段
手数 4: 一手損角換わりの出だしだが。
手数 5: ２４分の長考。順位戦のときの迫力が評判の先崎らしく気合が入っている。
手数 15: 横歩取りになった。
手数 28: △５四歩の局面で先崎が２１分考えて昼食休憩。ここまでの消費時間は先崎１時間６分。飯塚５０分。
手数 33: 午後２時の局面。中盤へ差し掛かる直前の棋士が一番苦心する局面だ。ここまでの消費時間は先崎１時間４３分、飯塚１時間５分。
手数 35: 銀を使って局面の押さえ込みを狙う。昨年の竜王戦の七番勝負第２局でも似たような将棋が出ている。
手数 36: 飯塚は軽く歩を突き捨てる。
手数 37: 歩で取るのは△５七歩の王手がいやらしく残る。
手数 38: １５時３０分の局面。消費時間は先崎１時間５９分。飯塚２時間８分。飯塚は軽く飛車を浮き、横歩を狙う。
手数 41: １６時４０分の局面。消費時間は先崎２時間２７分、飯塚２時間９分。先崎は二枚の銀を繰り出して押さえ込みにいく。飯塚はうまく手が作れるか．
手数 42: ６８分の長考。
手数 46: １７時半の局面。消費時間は先崎２時間３２分、飯塚３時間３９分。飯塚、歩を合わせて７六の狙う作戦か。
手数 48: ここで先崎が２６分考えて夕食休憩。消費時間は先崎３時間１７分、飯塚４時間４０分。夕食の注文は先崎バジリコスパゲティ、飯塚きつねうどん。
手数 51: ▲７七歩は△６六飛▲同歩△５五銀で飛車交換になって押さえ込み失敗。
手数 56: やはり、△５五銀の筋を狙う。
手数 58: ２０時３０分の局面。消費時間は先崎４時間２４分、飯塚３時間５４分。
手数 66: ２１時３０分ごろの局面。残り時間は先崎１時間１１分、飯塚１時間３８分。
手数 77: ２２時３０分の局面。残り時間は先崎１時間４分、飯塚１時間１分。控え室では、△８七銀にどう対応すればいいのかわからないという。飯塚有利か。
手数 78: 飯塚は手筋の歩を放つ。
手数 80: さらにもう一発。
手数 81: こう引かせて飯塚は先崎陣の右辺に手がかりを作った。
手数 82: ２３時１５分ごろの局面。残り時間は先崎４８分、飯塚３１分。
手数 85: 手筋で形を乱す。
手数 91: 先崎、▲５九角からすべての駒を打ち付けての粘り。
手数 101: ２３時４５分ごろの局面。残り時間は先崎２６分、飯塚２８分。先崎は攻めを催促する。
手数 120: ０時１５分ころの局面。残り時間は先崎１７分、飯塚１３分。飯塚は飛車を詰ました。
手数 150: 以下は簡単な詰み。終局時刻は０時５４分。消費時間は５時間５７分、飯塚５時間５９分。
