先手: 中村 修八段
後手: 小野 修一八段
手数 5: 中村、今度は三間飛車。
手数 19: 石田流から主導権を取ろうとする動き。
手数 26: １６時４０分の局面。消費時間は中村１時間５１分。小野が２時間４８分。
手数 37: 端桂で揺さぶりをかける。
手数 41: ここで小野が２０分考えて夕食休憩に入った。消費時間は中村２時間１７分、小野３時間４３分。夕食の注文は中村、小野ともになし。中村は▲６七銀と引かされた代償に７筋の交換を狙う。
手数 42: ▲７三歩成としてもらいたい小野。
手数 57: これぞ不思議流の一手。
手数 58: ２０時３０分の局面。消費時間は中村３時間４分、小野が４時間１４分。△７二飛からの進行は虚々実々の見ごたえのある応酬。
手数 63: 先手が駒損なしで飛車が成れ優勢のようだが、８七の銀が遊んでいてバランスが取れている。
手数 71: ２１時３０分の局面。残り時間は中村２時間３０分、小野、１時間２６分。中村は手順に銀を活用した。
手数 75: 巧妙な手順で馬を詰ました。
手数 76: 小野も攻防の角打ちで負けていない。
手数 80: 穴熊が再生した。
手数 85: コビン攻めを米長玉で受ける。
手数 86: 端玉には端歩の格言の通りの一手。
手数 92: ２２時３０分の局面。残り時間は中村２時間１２分。小野が５６分。
手数 100: ２３時１５分ごろの局面。残り時間は中村１時間５２分、小野３０分。
