先手: 田村 康介六段
後手: 田中 魁秀九段
手数 1: 田村の今期成績は１９勝１０敗（０．６５５）。通算成績は３４２勝２２７敗（０．６０１）。
手数 2: 田中の今期成績は４勝１４敗（０．２２２）。通算成績は６３６勝６９１敗（０．４７９）。
手数 3: 田村は早見え、早指しのオールラウンドプレーヤー。先後関係なくいろんな戦法を指すが、昇級の掛かったこの最終戦はどんな戦法を持ってくるだろうか。
手数 4: 田中は居飛車党。後手番では相矢倉や無理やり矢倉が得意。
手数 5: 現在８勝１敗の田村は昇級レースの２番手。勝てばＢ級２組に昇級。敗れた場合は村山、佐々木慎、宮田敦、小林裕の４人全員が敗れた場合昇給となる。（宮田敦六段は体調不良により、本日不戦敗となった）
手数 6: 現在３勝６敗の田中は下から１０番目の成績で、敗れると降級点となる可能性があり、その場合は２つ目の降級点でＣ級２組に降級となる。田中の降級点回避の条件は、自身が勝つか、近藤、森けい、内藤、浦野、高野の５人中２人が敗れた場合に回避となる。
手数 7: 田村は棋戦に関係なく早指しで有名だが、今期順位戦に限っては消費時間４時間を超える対局が９局中３局あり、２〜４時間だったものも３局ある。傾向でいけば、本局もしっかりと時間を使って指してくるであろう。
手数 8: 田中は前期最終戦も敗れると降級点の危機だったが、若手実力者の村山五段相手に、２３２手という激闘の末勝ちきった。今期もここまで王位となった広瀬に唯一の黒星を付けており、この最終の田村戦も、激戦必至と見ていいだろう。
手数 10: 田中は本局は一手損角換わりを採用した。
手数 13: 田村は棒銀に出た。
手数 17: この手で▲１六歩ならすぐに端から仕掛ける端棒銀となるところ。
手数 19: 田村は３筋からの棒銀に出るようだ。
手数 20: 田中は腰掛銀で対抗した。
手数 21: 田村はここで仕掛けて行く。
手数 22: △３五同歩は▲同銀で△３四歩に▲２四歩と棒銀をさばかれる。
手数 25: １１時頃の局面。ここまでの消費時間は▲田村２８分、△田中１０分。
手数 27: 次に▲２四歩を狙う。
手数 32: △２三金は力強いが、やや頑張りすぎの感がある。
手数 34: 逆に▲３六歩と打たれ、攻めの土台を築かれる手を防いだ。
手数 35: この局面で田中が１５分考えて昼食休憩に入った。ここまでの消費時間は▲田村１時間９分、△田中４７分。
手数 36: １４時頃の局面。ここまでの消費時間は▲田村１時間９分、△田中５２分。
この局面で田村が考えている。
手数 38: 田中は６筋の位を生かし好点に角を打つ。次に△３六歩〜△４六角がある。
手数 42: 逆に▲３五歩と押さえられてはいけない。
手数 43: 田村は戦いながら徐々に攻め駒を中央に集めだした。
手数 44: ４４手目にしてようやく居玉が解消された。ただこの後△３一玉とすると後手陣に角打ちの隙ができるので、そう指す時は細心の注意が必要だ。
手数 46: ▲５五歩△同角▲５六銀△６四角▲５五歩△同銀△６五銀で角が詰む順があったので、田中は角を７三に引く手を作った。１５時過ぎの局面。ここまでの消費時間は▲田村２時間３５分、△田中１時間１０分。
手数 47: それでも田村は５筋を突き出していった。
手数 52: ここで▲６五銀なら△５五角がある。
１６時頃の局面。ここまでの消費時間は▲田村３時間１３分、△田中１時間２２分。
手数 53: 田村はここで４筋から仕掛けて行った。しかし玉のコビンが更に開くので怖い形でもある。
手数 57: スムーズに銀交換となった。田村は２筋で行うはずの棒銀を４筋でしたという風に思っているかもしれない。
手数 60: 田中はまずは飛車を止めに掛かる。△５五角があるので歩損や歩切れは解消できそうだ。
手数 63: 田村は角を合わせて行った。この自玉のコビンの開いた局面で相手に角を渡す順を指すとは、何という男らしさだろう。
１７時頃の局面。ここまでの消費時間は▲田村３時間５４分、△１時間３７分。
手数 68: 田中は自陣に馬を作った。
手数 75: 田村はここで角切りの強襲に出た。
手数 78: この局面で田村が２３分考えて夕食休憩に入った。ここまでの消費時間は▲田村４時間２６分、△田中２時間２４分。
手数 79: △５一同玉は▲３一竜が王手金取りになるので逃げる一手。
手数 80: △４三に逃げるのは▲３一竜△１三角の王手竜取りに、▲３五桂と打つ逆王手があって竜を逃がしてしまう。
手数 82: 王手竜取りが掛かった。しかし当然田村も読み筋のはず。果たしてどちらが読み勝っているのだろうか。
手数 83: 田村は宙空に打つ馬取りの桂打ちで切り返した。
手数 87: △１三角を消しながら金取り。
手数 89: 田村は切れそうに見えた攻めをうまく繋いでみせた。
手数 92: 田中も反撃に出ている。
手数 96: 先手玉は次に詰めろが掛からないので、ここで▲７一角で先手の勝ちと言われている。
手数 97: 田村は勝ちを読みきったようだ。
手数 98: この手は詰めろになってない。
手数 105: この局面で田中の投了となった。投了図は先手玉に詰みはなく後手玉は受けなしの為投了もやむを得ない。
終了時刻は２０時４９分。消費時間は▲田村４時間３８分、△田中３時間３２分。勝った田村は９勝１敗でＢ級２組に昇級を決め、また敗れた田中は３勝７敗で今期順位戦を終え、現時点で降級点は他局の結果次第となった。
