手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数8: 戦型は後手向かい飛車となった。

手数13: 先手は作戦を定めず、居飛車と振り飛車のどちらも選べるようにしている。

手数19: ここで向かい飛車に。相振り飛車の将棋となった。

手数30: ２３手目▲８五歩に対して、後手が歩交換を受けないのは斬新だった。ただそのあと▲８四歩△同歩▲同飛に△８三銀から銀冠に組まれるのを警戒して、先手も歩交換を保留している。このまま交換しなければ後手も矢倉になりそうだが、７三銀型にせず戦うのかもしれず、そこが序盤の見どころだ。進行の一例として▲３八金△６三金▲４六歩△７三銀があり、６一金が浮いたこの瞬間に、先手は動けるかどうかが問われる。

手数31: これは有名な筋で、以下▲７七桂〜▲６八飛〜▲５六銀で６筋に照準を定めようとしている。

手数32: ６筋に攻め駒を集めてこられそうなため、金上がりで補強するのは自然だ。

手数35: ７三桂型にされたので、代えて▲６八飛とは回りにくくなった。その瞬間に△８五桂▲同桂△８四歩の筋が気になる。本譜は９筋が薄くなったので端攻め、という流れだろう。ここは▲７五歩から歩を交換する手もあった。進行の一例は△９五同歩▲同香に（１）△９三歩だが、それは▲９八飛〜▲７五歩で端に殺到できそうだ。（２）△９五同香▲同角△９四歩▲８六角に△６五歩と反発する順が示されている。後手はここで何か反発しないといけない。早くも勝負どころだ。

手数40: 何か動かないといけない局面だったが、そこから手を作った。▲３五同歩に△５五角と飛び出て、（１）△３六歩や（２）△３六香や（３）△３七角成▲同桂△３六歩で攻め合いにしようということだ。先手陣の上部が薄いのを突いた変化で、やや勝負手気味でもある。ただし△５五角と出られる手に対して▲４六香は堅い。

手数42:

手数43:

手数45: これでしばらくは後手の攻めを防げるだろう。５五角がいなくなれば▲４三香成で攻め駒としても使える。対する後手としては、先手の貴重な戦力を受けに使わせたことが主張だ。

手数47: 後手玉の急所に拠点を作った。次は▲８四歩△同歩▲同角△８三歩▲９三歩成△７一玉▲８三と△同銀▲９三角成△８二歩▲８三飛成が狙い筋のひとつになっているだろう。

手数48: しっかりと端を受けた。先手陣左辺を攻めるのに活用できるかもしれない。

手数49: △９四香に▲９五歩を用意。端のやりとりでは先手が少し得をしただろうか。

手数51: なんと先手は銀を取らせる選択。いきなり終戦入りしそうだ。

手数55: この手に期待しての銀捨てだったか。△６三同銀に▲５三角成で攻めがつながる。

手数57: ５１手目▲６六同銀に代えて▲５六銀も自然だった。本譜は激しくいった。ここで△６二銀には▲６四歩の追撃があり、その手が見えたので決行したのではないか。

手数58: これでも（１）▲６四歩と打ちたい。以下（Ａ）△６四同角には▲同馬△同銀に▲３一角が飛銀両取りで厳しい。（Ｂ）△６四同銀には▲５四馬と引ける。（Ｃ）△７二銀には▲７五歩の桂頭攻めがある。そういった攻め筋でいけるという判断なのだろう。ほかにも（２）▲８四歩は急所の攻めだ。ここで攻めきれるかどうかが勝負の分かれ目だ。先手は攻め駒の補充が利かない形のため、攻めが切れてしまうと反発が怖い。

手数59: 少し前の銀捨てに続き、ここでも「なんと」の一着。先手はいきなり決めにいった。逃げられないため、△９三同香▲同歩成△同玉までは進む。

手数63: 応酬が続く。

手数65: 取れば▲８六金△９四玉▲９九香まで即詰みだ。引くよりない。

手数67: 飛車を入手すれば▲９四香△８二玉▲９二飛△７一玉▲８二金までの詰めろが生じる。

手数68: （１）▲８四歩を利かすかどうかは考えたい。△同玉ならば▲９四金までの詰みがある。自然なのは（２）▲２一馬だ。

手数69: 必ず飛車を入手しようという変化である。

手数72: 後手玉が寄るかどうか。（１）▲８一飛や（２）▲８四歩のほか、（３）▲８六馬とじっと引いておくのも一例。馬の圧力が加われば、次に▲９四歩と突き出しやすい。

手数73: ここは消去法で（１）△９二銀か。次に△８二玉〜△９一玉と飛車を取る狙い。（２）△９二歩には▲８一飛成が▲９四金までの詰めろで、以下△９五飛成に▲８二金と迫れば後手は受けきれない。

手数74: やるなら▲５三馬だろうか。以下（１）△８二玉には▲９二飛成△同玉▲５四馬が一例。（２）△５三同銀には▲９四金△８二玉▲６一飛成として、以下△７二銀だと▲９三金打以下の詰みがある。

手数75: （１）△８二玉に▲９四桂を用意した。（２）△９五飛成には何を用意しているだろうか。（２）△９五飛成には▲８七桂△９九竜▲９四歩△同竜▲１一馬△同角に▲９五香が一例だ。

手数76: ５五角のラインを通して９一飛に当てている。候補手は▲１一馬で、△９一角と飛車を取られてしまうものの、どこかで▲６五桂と跳ねれば９九飛を狙えそうだ。進行の一例は▲１一馬△９一角▲９四香△８二玉▲６五桂△３七香▲３八桂△同香成▲同玉△３七歩で、後手玉が詰めろになっていないのであれば先手玉を先に寄せきれる。

手数77: △９四同飛成▲８六桂△９一角▲９四桂は、後手玉が寄りにくくなる。先手にとって勝負手なのかもしれない。

手数78: 後手は決断よく玉を引いた。

手数81: ▲５五馬△同歩▲９二香成△同玉▲９三銀△８一玉▲８二金までの詰めろ。ここで（１）△９四飛成と引いてもらえるならば先手は安心できる。以下▲９二香成△同玉▲５五馬△同歩▲６五桂と自然に進める。現局面では（２）△８二銀から考えてみたい。進行の一例は、（２）△８二銀に▲９二香成△同玉▲５五馬△同歩▲６四角。後手玉に▲９三銀△同銀▲９一金までの詰めろを掛けて難解だ。

手数82: 決断の一着。３五歩が存在するため歩合いはできない。しかし▲３七同桂には△２九飛以下の詰みがある。

手数84: （１）▲６五桂には△４九飛成で、後手玉は詰まないという主張なのだろう。（２）▲８四桂△同歩▲８三金の筋が考えられる。以下△８一銀打ならば▲６五桂が詰めろ飛車取りで先手勝勢。ほかには（３）▲３七玉も有力で、△４九飛成とはやりにくい（飛車の利きがなくなれば▲９二香成から後手玉が危なくなる）。

手数87: 後手玉にプレッシャーを与えた。▲９三銀△８一玉▲８二銀成△同玉▲９三馬△７二玉▲８一角△７三玉▲６五桂△６四玉▲５六桂△６五玉▲６六金までの詰めろになっている。

手数88: うまく組み合わせれば先手が勝ちそうだ。ただそのパターンが多い局面でもある。進行の一例は▲８四桂△同歩▲同歩。後手に駒を渡しすぎると先手玉に即詰みが生じかねないが、桂ならば問題ない。

手数91: ▲８三銀△８一玉▲９二金△７一玉▲８二金までの詰めろ。

手数94: 読みが一致しているようだ。

手数103: ここで後手が投了した。投了以下、（１）△７二同玉は▲８三角△６三玉▲７四角成△５三玉▲６五桂△４二玉▲５三銀△同銀▲３四桂△５一玉▲５二金まで詰み。（２）△５一玉は▲４二銀△同玉▲３四桂△５三玉▲４二角△６三玉▲７三金打まで詰み。

