手数1:

手数2:

手数3:

手数4:

手数5: 先手は３手目に▲９六歩と変化球を投げ、様子を見た。

手数6: 後手は３手目▲９六歩に反応したのか、△８四歩〜△８五歩と居飛車で飛車先を詰める。

手数9: ▲９六歩を突いた形の横歩取り模様に進んだ。

手数16: △７六飛と横歩は取らずに玉を立つ。

手数18: 後手は△７二銀と立つ。この局面で前例を離れた。

手数19: ▲３四飛と横歩を取る。放置すれば▲２二角成の狙いがあり、後手は何らかの対応が必要だ。

手数21: 部分的には横歩取りの進行だが、▲９六歩と△７二銀の形がどのように影響するのか。▲９六歩と△７二銀が入っていなければ横歩取り青野流で前例のある局面だが、本局は似た形ながらもまったく違う将棋という。後手は７二に立った銀をどのように生かすか、難しかったのかもしれない。

手数22: 横歩を取った。３手前の▲３四飛同様、放置すれば△８八角成と角を取る手が厳しい。

手数23: 昼食休憩を挟み、長考で角を換える。▲９六歩と△７二銀が入っていない類型では、▲７七角や▲７七桂が主に指されていた。類型とはまったく違う将棋になっている。先手は代えて▲７七角や▲７七桂には違和感を感じたのかもしれない。

手数24: 金で応じ、飛車取りの先手を取る。

手数27: 代えて▲８八飛では飛車香両取りに△５五角があった。横に広い五段目に引く。

手数28: △７四歩と突き、▲８二角に△７三角の合わせを用意した。

手数31: ２四に歩を打たせて３筋に回った。飛車を引くと、やはり△５五角がある。

手数32: △７三桂と跳ねた。６五と８五を押さえ、相手の飛車の可動域を狭くしている。

手数33: 飛車取りに▲７七歩と打った。７六の位置から飛車を追う。

手数34: 後手の飛車も狭い。７五に引いて交換を迫る。

手数37: 飛車を交換し、▲８四歩と合わせた。△８四同歩に▲８二角には△６四角がある。以下、（１）▲２八歩は△９二飛で角が助からない。（２）▲９一角成△１九角成は後手だけ２九の桂が取れる。（２）の順、△１九角成に対して▲３八銀で桂を守れば、△１八飛で先手は７筋の壁がたたる形だ。△８四同歩に▲８三歩（△同銀は▲８一飛）は、△７一金でどうか。先手は２筋にキズを抱えてゆっくりできないため、攻めさせられている感じかもしれない。この変化は後手よしで両者一致しているようだ。

手数39: ▲８三歩はしょうがない手だったのかもしれない。

手数40: 後手は銀引きで▲８二歩成を受けた。▲８二角は△同銀▲同歩成で手番を得られる。

手数41: 天王山に角を放つ。桂取りをかけつつ、３三の金を質駒にした。▲３三角成△同桂▲２一飛の強襲も視野に入る。後手はこの▲５五角が嫌だったようで、ほかの手なら△３二金で立て直すつもりだったという。

手数42: 角に対しては角で受けた。▲７三角成と▲３三角成、いずれにも△同角を用意している。

手数43: ▲３八銀と立つ。懸念だった２筋のキズを手当てした。打ち合った角は先手の角のほうがよく利いている。先手は後手の動かす駒が難しいと見ていたのかもしれない。

手数45: 歩損のうえ、金銀が低い位置にいるため腰の入った攻めは繰り出しにくい。▲３五歩と伸ばし、嫌みをつけておく。先手はこの▲３五歩があまりよくなかったようだ。一方、後手は▲３五歩が嫌で、前手△４四歩を後悔したという。後手はいい手が分かりにくかったのかもしれない。△４二玉〜△３二玉では堅くならない。後手玉は５二がいちばんいい位置だろう。

手数46: 玉頭の歩を突いた。好位置に居座る角に移動願う。この△５四歩は勝負手だったようだ。角の逃げ場所は本譜がいいだろう。

