手数1: 先手の▲７六歩はすぐに着手された。

手数2: 後手は意表の初手△３二飛を選択した。

手数3: ２手目△３二飛には相振り飛車も有力な作戦だが、先手は居飛車を選択した。

手数4: ４手目△４二銀は新手。ゴキゲン中飛車の角交換型と比べて５筋の歩突きが保留できて、後手の駒組みに柔軟性がある。

手数5:

手数6:

手数7:

手数8: 後手の選択は△８八角成。８手目にして未知の局面に突入した。△６二玉は▲２五歩△３三角▲同角成△同銀▲６五角△７四角▲同角△同歩▲７五歩△７三玉▲７四歩△同玉という変化があり、その変化は先手が穴熊に囲う含みがあるので先手十分という。また、△５二金左は▲２五歩△３三角▲同角成△同銀の形で、△５二金左の形を決めている分、後手やや不満のようだ。

手数9: 先手は▲同玉。手得になり、穴熊囲いの含みもある。△３五歩は▲４五角があるので、現時点では突けない。

手数11: 先手は短考で▲７八銀を選択した。手得を生かし、バランスを重視する指し方だ。

手数13: ▲２四歩△同歩▲同飛は△３三角があるのですぐに▲２四歩は成立しないが、普通は△２二飛と受けるのが形だろうか。

手数14: 後手は玉の囲いを優先させた。

手数16: 形によっては後手角交換穴熊の形もあるが、後手は美濃囲いを完成させた。

手数18: △３五歩と突いても▲４七銀で備えられる。△２二飛から△３三銀として２筋を逆襲して行く方が自然。

手数19: 先手の指し手は早い。

手数20: ４手目△４二銀のメリットの一つに５筋の歩突きの保留が挙げられていたが、このタイミングで△５四歩を着手した。

手数22: お互いに玉の懐を広げる。局面は持久戦の様相だ。

手数24:

手数25: 先手は▲７七銀を着手した。▲９八香▲９九玉▲８八銀の穴熊への組換えも視野に入れている。▲７七銀の局面で、後手が△３三桂と跳ね、先手が▲５六角から△３四歩を狙う将棋に進む前例がある。▲７七銀を見て、△４四歩を突く気になったのかもしれない。

手数27:

手数28: 後手は４筋の歩を突いた。この段階では早い歩突きだが、先手の狙い筋でもある▲５六角には△４五歩や△４三角で対抗できる。ここは▲３六歩、▲５六銀、▲９八香など手が広い局面だ。

手数29: 先手は一番含みの多い手を選択した。後手の出方次第で、▲６七角や▲５六銀などの動きを見ている。先手は決断良く指し手を進めている。

手数30: △４二金、△２一飛の布陣も考えられるが、△４四歩とのバランスがどうか。

手数31: 先手は序盤から自然な指し手を続けている。後手から仕掛けるならば△４五歩▲同歩△４二飛という筋が考えられる。

手数32: 後手は意を決して仕掛けに出た。部分的にはある仕掛けだが、手損の影響はどうか。△４五歩から△４二飛で手になっている。急戦調の将棋になると上ずっている矢倉は良くない。無難に組みすぎたのかもしれない。後手もこれぐらいしか狙い筋はなかったのかもしれない。

手数33: 手筋とばかりに▲２四歩△同歩▲４五歩は、△２五歩で飛車先を逆襲されてしまう。

手数34: ▲２四歩は△同歩▲同飛△５五歩▲６七銀△４五飛で△２五飛を狙われたら先手自信なしか。▲４八飛と受けるのは△５五歩▲６七銀△４五飛で飛車の打ち込みには後手の方が強い形。先手はこのようにさばかれると自信がない事が多いので、どのように受けるか注目。▲２四歩が第一感だが、▲３一角△３二飛▲５三角成△同金▲２四歩も考えられる。▲２四歩には強引に△４五桂とさばく手も有力なようだ。

手数35: ▲６七角は予想に挙がっていなかった。仕掛けに対する先手の答えに、後手は二の矢を繰り出せるか。攻めの継続を図るなら△５五歩▲同銀△４五桂から攻める順は考えられる。

手数36: 後手は△５五歩。前進流らしい一手で、振り飛車の将棋でも攻めの棋風が良く出ている。

手数37: 取らずに▲４七銀では駒が下がってしまう。先手も駒の勢いを重んじる将棋で、一方的な受けは嫌うタイプ。△４五桂には▲４六銀が自然な受け方として考えられる。以下、△３七桂成▲同銀△４九飛成のさばきはどちらが良いか。△４五桂に▲４六歩は△５四歩なので、▲４六銀。そこで後手から継続手があるかどうか。△４五飛▲同角△同桂▲４六銀も挙げられたが、後手の攻めが軽いという。

手数38: 後手は△４五桂と跳ねた。

手数39: ここで△３七桂成や△３九角を絡めての△５七桂成の攻め筋はあるが、いずれも桂損の攻めなのでやや後手が無理をしているのでは、との声も上がっている。

手数40: 後手はじっと力を溜めた。先手としては局面を収めるなら▲４七歩と銀を支える手は考えられる。攻めるならば▲２四歩が自然。

手数41: 先手は手堅く▲４七歩と受けた。次に無条件で▲２四歩と突ければ先手陣は盤石。▲２四歩は△５七桂成▲同銀（▲同金は△４五歩）△４九飛成で自信がないのかもしれない。

手数42: 後手は▲６七角に狙いを付けた。▲２四歩△同歩▲同飛には△６五歩から△３三角とする反撃の筋を見ている。

手数43: 一転して渋い応酬へ。▲６八金右は玉の囲いを強化するとともに、▲６七角の動きを楽にしている。飛車が２四に行くと△６五歩から△６六歩のように叩かれる筋がある。

手数44: 桂の成り捨て。▲６八金右を逆用しようという一着だ。▲同金は△４五歩なので、▲同銀△４七飛成が予想される。そこで▲４八飛は△４六歩。

手数46: ▲４八歩△４四龍▲２四歩や、▲３四角、▲２四歩、▲５六銀などが有力視されている。現局面で△３九角には▲５八飛で受かるが、一手の価値をどこに見出すか非常に難しい局面のようだ。

手数47: ▲２四歩と指した。△３九角には▲５八飛と回ることになるが、△３九角を打たせたと判断することもできる。△３九角▲５八飛△２四歩▲３四角が一例として予想されている。いい龍の追い方がないので仕方がない。▲２四歩も微妙だが、他に有効なパスがないのかもしれない。

手数48: 現実的な▲２三歩成も厳しいので、やはり後手は△３九角を利かした。

手数49: △４九龍は▲１八飛で龍取り。後に▲３八飛で角を詰まされる恐れもある。といって△２四歩は利かされているとの見方も出ている。

