手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数15: 戦型は横歩取りとなった。

手数17: 中住まいに構える。この手に代えて▲３六飛も考えられた。

手数18: ３〜５筋の上部が手厚くなった。

手数19: 先手は飛車を固定したまま駒組みを進めている。

手数20: 後手も中住まいで対抗する。

手数21: 桂の活用を急いで攻撃的な布陣を作った。次に▲４五桂△８八角成▲３二飛成が最も激しい進行で、いきなり終盤戦へ突入する。

手数22: 力強い金上がり。陣形は乱れてしまうが、積極的に先手の飛車を狙っていく。

手数23: いきなり▲３三飛成は△同桂で効果今ひとつ。飛車を逃げるなら▲３五飛しかなかった。

手数24: 金を寄って４二銀との連結をよくする。

手数25: ２筋に飛車を戻しつつ、金取りを掛ける。

手数26: 歩を使ってしっかり受けた。この手に代えて△２四金は▲２九飛とかわされ不安定な形が残る。具体的には▲２二歩で桂が捕まり、以下△８八角成▲同銀△３三桂とかわすと▲２四飛で金が取られる。

手数27: 歩を打たせたことに満足して、飛車を元の位置に戻した。ただし２筋に移動できないため、飛車が狭くなった意味もある。損得は難しいところだ。

手数28: 離れ駒をなくしながら、自玉を引き締める。指しておきたい一手だった。

手数29: 先手も陣形を整えていく。

手数30: ９筋の端歩を打診。△９三桂と跳ねるスペースを作った。

手数31: 端歩は受けない。飛車先に歩を打ち、８筋を収める。

手数32: 積極的に指すなら△７六飛も考えられたが、▲８五飛の転換なども残っており怖いところ。そこで中段に飛車を引き、攻守兼用のポジションを取った。

手数33: 積極的な桂跳ね。角道が止まったため、しっかりした読みがないと指しにくい。次に▲４五桂が狙いの攻め筋で、△４四角▲３二飛成と進めば竜を作れる。▲７七桂に代えて▲４五桂は△８八角成▲同銀△３四歩で止まってしまう。▲７七桂と角交換を防ぐことで３三角を負担にした。対応を間違えると一気に差がつく局面なだけに、読みを入れる必要がありそうだ。

手数34: △４四歩と着手。▲４五桂を防ぐのが急所と見たようだ。ただし後手も角道が止まったため、実質的な攻め駒は８四飛しかない。穏やかな展開に持ち込んで、攻めの形を作りたいところ。▲９六歩と突く手も考えられる。▲９五歩△同歩▲８五飛△同飛▲同桂と進めば、飛車の打ち込みができそうだ。そもそも▲９六歩に後手の指す手が難しいため、先手が作戦勝ちに見える。端歩の突き捨てを決めることで、▲９二歩△同香▲９一飛の攻め筋が生じており、攻めの幅が広がる。先手の理想は▲８五飛△同飛▲同桂と飛車交換をしてから、▲８二飛〜▲８一飛成と進めること。先手陣は飛車の打ち込みに強いため、飛車交換は歓迎だ。△２八飛と打たれても、▲２七歩〜▲３九金で飛車が捕まる。勝負どころのようだ。

手数35: ガツンと飛車をぶつける。

手数38: 自陣飛車を設置。▲８二飛の打ち込みを防ぎながら８五の桂取りだ。▲８六歩とヒモをつけても△８四歩で捕まる。

手数39: ８五桂の対応が課題だったが、端に成り捨てた。△９三同香と△９三同桂いずれもタダで取られてしまうが、後続の狙いがつかみ取れない。

手数40: 後手は桂で取る手を選んだ。

